Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,136.156784,137.313583,135.258133,135.344162,117.455063,4927497
2021-04-27,135.458893,136.290634,134.560226,135.764816,117.820114,4062664
2021-04-28,136.634796,137.093689,135.850861,136.711288,118.641487,3941433
2021-04-29,137.791580,142.198853,136.692154,137.896744,119.670250,4554179
2021-04-30,137.380493,137.504776,134.369019,135.640533,117.712250,9280321
2021-05-03,137.485657,139.340347,137.237091,138.384323,120.093384,5997241
2021-05-04,138.059280,140.143402,137.982788,139.340347,120.923035,6642623
2021-05-05,139.521988,139.521988,138.594650,138.833649,120.483330,5229895
2021-05-06,138.871887,141.978973,138.795410,141.892929,123.138260,7848661
2021-05-07,139.502869,139.713196,138.212234,139.063095,122.030869,7325661
2021-05-10,139.388138,141.854691,139.388138,139.741867,122.626488,7304636
2021-05-11,138.613770,138.804977,136.615677,137.877625,120.990585,7454214
2021-05-12,137.514343,137.810699,134.933075,135.086044,118.540886,6233742
2021-05-13,135.229446,138.527725,135.066925,137.829834,120.948662,4807207
2021-05-14,138.728485,139.282990,137.629059,138.317398,121.376480,2873780
2021-05-17,138.087952,139.388138,137.982788,138.728485,121.737251,4471755
2021-05-18,138.412994,138.910141,136.931168,137.581268,120.730553,4000009
2021-05-19,136.061188,136.902481,134.722748,136.892929,120.126480,4498532
2021-05-20,136.826004,138.537292,135.908218,137.552582,120.705353,4301675
2021-05-21,137.934998,139.292542,137.934998,138.374756,121.426842,4219041
2021-05-24,138.680695,138.996170,137.839386,138.355637,121.410057,3449290
2021-05-25,138.546844,138.623322,136.902481,137.466537,120.629822,4118311
2021-05-26,137.189301,137.657745,136.749527,137.074570,120.285881,3225655
2021-05-27,137.495224,138.403442,137.313583,137.495224,120.655022,5889294
2021-05-28,137.868073,137.982788,137.179733,137.418732,120.587875,2651192
2021-06-01,138.623322,139.416824,137.428299,137.848953,120.965431,2528705
2021-06-02,138.260040,139.340347,137.772461,139.311661,122.248993,2915097
2021-06-03,138.537292,139.464630,137.705551,139.149139,122.106377,4320608
2021-06-04,139.579346,141.061188,139.349899,140.936905,123.675156,3261323
2021-06-07,141.061188,142.198853,140.697891,141.510513,124.178551,3621984
2021-06-08,141.606125,143.594650,141.606125,142.514343,125.059395,5313785
2021-06-09,142.476105,144.426392,142.275330,144.043976,126.401688,5547252
2021-06-10,144.808792,146.118546,143.173996,143.919693,126.292618,4977391
2021-06-11,143.814529,145.172089,143.757172,144.627151,126.913445,3596462
2021-06-14,144.082214,144.388138,142.122375,143.432129,125.864784,3498661
2021-06-15,143.260040,143.317398,142.065002,142.791580,125.302696,2628912
2021-06-16,143.173996,143.173996,140.745697,141.328873,124.019135,4057329
2021-06-17,141.061188,141.548752,138.891006,139.196945,122.148323,4568300
2021-06-18,138.126190,138.317398,136.749527,136.826004,120.067757,9577699
2021-06-21,137.772461,140.602295,137.724670,140.200760,123.029198,4482633
2021-06-22,140.076477,140.353729,138.957932,139.923523,122.785881,2549102
2021-06-23,139.990433,140.057358,138.212234,138.250473,121.317764,3349920
2021-06-24,139.388138,139.761002,138.326965,139.043976,122.014076,3775746
2021-06-25,138.986618,140.468445,138.575531,140.382416,123.188568,3759533
2021-06-28,140.544937,140.822174,138.537292,138.900574,121.888245,4067789
2021-06-29,138.871887,140.286804,138.718933,139.149139,122.106377,2540211
2021-06-30,138.747604,140.468445,138.346085,140.143402,122.978836,3394375
2021-07-01,140.497131,141.013382,140.124283,140.382416,123.188568,2809661
2021-07-02,140.449326,140.487579,133.326965,133.862335,117.467072,17584515
2021-07-06,133.833649,134.244736,131.070740,132.676865,116.426819,8466010
2021-07-07,132.657745,134.158707,132.657745,133.671127,117.299278,4246446
2021-07-08,131.720840,135.095596,131.606125,134.550674,118.071121,5739820
2021-07-09,135.229446,135.736145,134.646271,135.296371,118.725487,4083689
2021-07-12,135.210327,135.717010,133.957932,134.722748,118.222115,3496360
2021-07-13,134.722748,134.722748,133.489487,134.110901,117.685188,3309858
